Artikelnummer;Bezeichnung;EAN;Netto
18-100566;"Baby-Jogginghose ""Wappen"" 86";9008433083028;9.26
18-100566;"Baby-Jogginghose ""Wappen"" 80";9008433083011;9.26
18-100566;"Baby-Jogginghose ""Wappen"" 74";9008433083004;9.26
18-100566;"Baby-Jogginghose ""Wappen"" 68";9008433082991;9.26
18-100566;"Baby-Jogginghose ""Wappen"" 62";9008433082984;9.26
18-100566;"Baby-Jogginghose ""Wappen"" 56";9008433082977;9.26
18-100563;"Mütze mit Binden ""Ringel"" 80/86";9008433082878;7.07
18-100563;"Mütze mit Binden ""Ringel"" 68/74";9008433082861;7.07
18-100563;"Mütze mit Binden ""Ringel"" 56/62";9008433082854;7.07
18-100562;"Babymütze ""SC Freiburg"" 80/86";9008433082847;5.43
18-100562;"Babymütze ""SC Freiburg"" 68/74";9008433082830;5.43
18-100562;"Babymütze ""SC Freiburg"" 56/62";9008433082823;5.43
18-100555;"3D-Aufkleber ""25 Jahre Aufstieg""";4260370443012;0.84
18-100550;"Beanie ""Pin""";4260592570466;8.53
18-100548;"Beanie ""SCF Greif""";4260592570459;8.26
18-100547;"Mütze ""Woolie SC Freiburg""";4260592570442;10.9
18-100546;"Mütze ""Strick""";4260592570435;10.9
18-100545;"Mütze ""Ladys melange""";4260592570428;10.9
18-100544;"Mütze ""Bollenhut 18/19""";4260592570411;10.98
18-100542;"Frühstücksbrettchen-Set 2er ""SC Freiburg""";4260602030461;7.07
18-100541;"Magnet 2er-Set ""SC Freiburg""";4260602030478;3.8
18-100540;"Eierbecher-Set ""Fußball""";4260602030485;5.43
18-100539;"Trinkflasche ""SC Freiburg""";4250577720641;5.43
18-100538;"Beachball-Set ""Wappen""";4250577720634;5.43
18-100537;"Lineal ""Wappen""";4250577720627;1.74
18-100536;Mousepad ;4250577720610;3.8
18-100535;"Sonnenbrille ""Wappen""";4250577720603;5.43
18-100534;"Schorleglas ""Dubbe Wappen""";4250577720597;3.25
18-100526;"Cocktailglas ""scfreiburg""";4900224023945;2.73
18-100522;"Müslischale ""Fußball""";4260537987380;7.07
18-100521;"SCF-Chronograph ""Logo""";4260550370046;76.44
18-100520;"SCF-Armbanduhr ""Schriftzug""";4260550370039;46.14
18-100519;"Ballpumpe ""sportclub""";4260016961894;5.58
18-100518;"Grillbesteck 3er Set ""SC Freiburg""";4250039676882;10.89
18-100517;"Wanduhr ""Wappen""";4260016961887;10.89
18-100483;"Schlüsselanhänger ""Straßenschild""";4260537987304;4.34
18-100479;"Polo-Shirt ""Badge"" XXXL";4060452001167;20.98
18-100479;"Polo-Shirt ""Badge"" XXL";4060452001150;20.98
18-100479;"Polo-Shirt ""Badge"" XL";4060452001143;20.98
18-100479;"Polo-Shirt ""Badge"" S";4060452001112;20.98
18-100479;"Polo-Shirt ""Badge"" M";4060452001129;20.98
18-100479;"Polo-Shirt ""Badge"" L";4060452001136;20.98
18-100475;"Hoodie ""SCF"" (w) XXL";4060452000924;30.74
18-100475;"Hoodie ""SCF"" (w) XS";4060452000870;30.74
18-100475;"Hoodie ""SCF"" (w) XL";4060452000917;30.74
18-100475;"Hoodie ""SCF"" (w) S";4060452000887;30.74
18-100475;"Hoodie ""SCF"" (w) M";4060452000894;30.74
18-100475;"Hoodie ""SCF"" (w) L";4060452000900;30.74
18-100472;"Schnullerkette ""Wappen""";4042332061003;7.07
18-100443;"Schal ""YNWA""";4260406531676;9.26
18-100442;"Schal ""Kids Rasselbande""";4260406531669;8.17
18-100439;"Schal ""Super-Logo""";4260406531638;9.26
18-100438;"Kinder-Langarm-Shirt ""04"" 98-104";4251201494877;11.17
18-100438;"Kinder-Langarm-Shirt ""04"" 86-92";4251201494860;11.17
18-100438;"Kinder-Langarm-Shirt ""04"" 74-80";4251201494853;11.17
18-100438;"Kinder-Langarm-Shirt ""04"" 164";4251201494921;11.17
18-100438;"Kinder-Langarm-Shirt ""04"" 152";4251201494914;11.17
18-100438;"Kinder-Langarm-Shirt ""04"" 140";4251201494907;11.17
